Ref,Val,Package,PosX,PosY,Rot,Side
"J3","0532610471","MOLEX_0532610471",102.860000,-83.275000,90.000000,bottom
"J4","0532610471","MOLEX_0532610471",102.880000,-95.415000,90.000000,bottom
"J6","0532610471","MOLEX_0532610471",136.550000,-95.375000,-90.000000,bottom
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Horizontal",120.740000,-113.650000,90.000000,bottom
"R2","4k7","R_0603_1608Metric",109.067944,-88.138276,-90.000000,bottom
"R4","4k7","R_0603_1608Metric",109.082056,-84.901724,90.000000,bottom
"R6","4K7","R_0603_1608Metric",132.980000,-94.225000,0.000000,bottom
"R7","4K7","R_0603_1608Metric",132.985000,-96.475000,0.000000,bottom
